entity_type,entity_id,alert_timestamp,alert_type,alert_message,severity,status
TRANSFORMER,TR-01-01,2026-01-01 01:00:00,HIGH_LOSS,Loss percent 35.14% exceeds 12.00%.,HIGH,OPEN
TRANSFORMER,TR-01-01,2026-01-01 02:00:00,HIGH_LOSS,Loss percent 20.39% exceeds 12.00%.,HIGH,OPEN
TRANSFORMER,TR-01-01,2026-01-01 03:00:00,HIGH_LOSS,Loss percent 13.43% exceeds 12.00%.,HIGH,OPEN
TRANSFORMER,TR-01-01,2026-01-01 05:00:00,HIGH_LOSS,Loss percent 16.56% exceeds 12.00%.,HIGH,OPEN
TRANSFORMER,TR-01-01,2026-01-01 07:00:00,HIGH_LOSS,Loss percent 14.49% exceeds 12.00%.,HIGH,OPEN
TRANSFORMER,TR-01-01,2026-01-01 08:00:00,HIGH_LOSS,Loss percent 13.48% exceeds 12.00%.,HIGH,OPEN
TRANSFORMER,TR-01-01,2026-01-01 10:00:00,HIGH_LOSS,Loss percent 23.95% exceeds 12.00%.,HIGH,OPEN
TRANSFORMER,TR-01-01,2026-01-01 12:00:00,HIGH_LOSS,Loss percent 12.32% exceeds 12.00%.,HIGH,OPEN
TRANSFORMER,TR-01-01,2026-01-01 13:00:00,HIGH_LOSS,Loss percent 14.60% exceeds 12.00%.,HIGH,OPEN
TRANSFORMER,TR-01-01,2026-01-01 17:00:00,HIGH_LOSS,Loss percent 14.29% exceeds 12.00%.,HIGH,OPEN
TRANSFORMER,TR-01-01,2026-01-01 21:00:00,HIGH_LOSS,Loss percent 16.04% exceeds 12.00%.,HIGH,OPEN
TRANSFORMER,TR-01-01,2026-01-01 22:00:00,HIGH_LOSS,Loss percent 33.30% exceeds 12.00%.,HIGH,OPEN
TRANSFORMER,TR-01-01,2026-01-01 23:00:00,HIGH_LOSS,Loss percent 18.82% exceeds 12.00%.,HIGH,OPEN
TRANSFORMER,TR-01-01,2026-01-02 00:00:00,HIGH_LOSS,Loss percent 27.99% exceeds 12.00%.,HIGH,OPEN
TRANSFORMER,TR-01-01,2026-01-02 01:00:00,HIGH_LOSS,Loss percent 33.72% exceeds 12.00%.,HIGH,OPEN
TRANSFORMER,TR-01-01,2026-01-02 02:00:00,HIGH_LOSS,Loss percent 15.06% exceeds 12.00%.,HIGH,OPEN
TRANSFORMER,TR-01-01,2026-01-02 04:00:00,HIGH_LOSS,Loss percent 12.46% exceeds 12.00%.,HIGH,OPEN
TRANSFORMER,TR-01-01,2026-01-02 05:00:00,HIGH_LOSS,Loss percent 28.43% exceeds 12.00%.,HIGH,OPEN
TRANSFORMER,TR-01-01,2026-01-02 07:00:00,HIGH_LOSS,Loss percent 16.55% exceeds 12.00%.,HIGH,OPEN
TRANSFORMER,TR-01-01,2026-01-02 10:00:00,HIGH_LOSS,Loss percent 25.83% exceeds 12.00%.,HIGH,OPEN
TRANSFORMER,TR-01-01,2026-01-02 12:00:00,HIGH_LOSS,Loss percent 15.34% exceeds 12.00%.,HIGH,OPEN
TRANSFORMER,TR-01-01,2026-01-02 13:00:00,HIGH_LOSS,Loss percent 12.42% exceeds 12.00%.,HIGH,OPEN
TRANSFORMER,TR-01-01,2026-01-02 14:00:00,HIGH_LOSS,Loss percent 16.20% exceeds 12.00%.,HIGH,OPEN
TRANSFORMER,TR-01-01,2026-01-02 15:00:00,HIGH_LOSS,Loss percent 18.61% exceeds 12.00%.,HIGH,OPEN
TRANSFORMER,TR-01-01,2026-01-02 16:00:00,HIGH_LOSS,Loss percent 16.27% exceeds 12.00%.,HIGH,OPEN
TRANSFORMER,TR-01-01,2026-01-02 18:00:00,HIGH_LOSS,Loss percent 12.65% exceeds 12.00%.,HIGH,OPEN
TRANSFORMER,TR-01-01,2026-01-02 22:00:00,HIGH_LOSS,Loss percent 28.15% exceeds 12.00%.,HIGH,OPEN
TRANSFORMER,TR-01-01,2026-01-03 02:00:00,HIGH_LOSS,Loss percent 14.26% exceeds 12.00%.,HIGH,OPEN
TRANSFORMER,TR-01-01,2026-01-03 03:00:00,HIGH_LOSS,Loss percent 21.77% exceeds 12.00%.,HIGH,OPEN
TRANSFORMER,TR-01-01,2026-01-03 08:00:00,HIGH_LOSS,Loss percent 27.53% exceeds 12.00%.,HIGH,OPEN
TRANSFORMER,TR-01-01,2026-01-03 09:00:00,HIGH_LOSS,Loss percent 12.79% exceeds 12.00%.,HIGH,OPEN
TRANSFORMER,TR-01-01,2026-01-03 10:00:00,HIGH_LOSS,Loss percent 15.50% exceeds 12.00%.,HIGH,OPEN
