transformer_id,reading_timestamp,input_energy_kwh,quality_flag,source
TR-01-01,2026-01-01 00:00:00,28.5193,OK,synthetic
TR-01-01,2026-01-01 01:00:00,27.4178,OK,synthetic
TR-01-01,2026-01-01 02:00:00,24.7951,OK,synthetic
TR-01-01,2026-01-01 03:00:00,27.6796,OK,synthetic
TR-01-01,2026-01-01 04:00:00,26.1285,OK,synthetic
TR-01-01,2026-01-01 05:00:00,27.3786,OK,synthetic
TR-01-01,2026-01-01 06:00:00,47.029,OK,synthetic
TR-01-01,2026-01-01 07:00:00,50.991,OK,synthetic
TR-01-01,2026-01-01 08:00:00,49.8736,OK,synthetic
TR-01-01,2026-01-01 09:00:00,53.6147,OK,synthetic
TR-01-01,2026-01-01 10:00:00,65.0481,OK,synthetic
TR-01-01,2026-01-01 11:00:00,56.9222,OK,synthetic
TR-01-01,2026-01-01 12:00:00,51.6143,OK,synthetic
TR-01-01,2026-01-01 13:00:00,62.997,OK,synthetic
TR-01-01,2026-01-01 14:00:00,56.9505,OK,synthetic
TR-01-01,2026-01-01 15:00:00,55.4429,OK,synthetic
TR-01-01,2026-01-01 16:00:00,59.501,OK,synthetic
TR-01-01,2026-01-01 17:00:00,61.3238,OK,synthetic
TR-01-01,2026-01-01 18:00:00,73.736,OK,synthetic
TR-01-01,2026-01-01 19:00:00,75.5242,OK,synthetic
TR-01-01,2026-01-01 20:00:00,80.6758,OK,synthetic
TR-01-01,2026-01-01 21:00:00,79.133,OK,synthetic
TR-01-01,2026-01-01 22:00:00,83.833,OK,synthetic
TR-01-01,2026-01-01 23:00:00,42.6796,OK,synthetic
TR-01-01,2026-01-02 00:00:00,25.5204,OK,synthetic
TR-01-01,2026-01-02 01:00:00,27.289,OK,synthetic
TR-01-01,2026-01-02 02:00:00,27.4674,OK,synthetic
TR-01-01,2026-01-02 03:00:00,28.2186,OK,synthetic
TR-01-01,2026-01-02 04:00:00,28.1132,OK,synthetic
TR-01-01,2026-01-02 05:00:00,28.0268,OK,synthetic
TR-01-01,2026-01-02 06:00:00,46.5699,OK,synthetic
TR-01-01,2026-01-02 07:00:00,51.3604,OK,synthetic
TR-01-01,2026-01-02 08:00:00,51.0038,OK,synthetic
TR-01-01,2026-01-02 09:00:00,53.4268,OK,synthetic
TR-01-01,2026-01-02 10:00:00,54.7651,OK,synthetic
TR-01-01,2026-01-02 11:00:00,55.6478,OK,synthetic
TR-01-01,2026-01-02 12:00:00,61.0675,OK,synthetic
TR-01-01,2026-01-02 13:00:00,62.7637,OK,synthetic
TR-01-01,2026-01-02 14:00:00,56.4695,OK,synthetic
TR-01-01,2026-01-02 15:00:00,59.3493,OK,synthetic
TR-01-01,2026-01-02 16:00:00,67.5758,OK,synthetic
TR-01-01,2026-01-02 17:00:00,62.3997,OK,synthetic
TR-01-01,2026-01-02 18:00:00,77.2105,OK,synthetic
TR-01-01,2026-01-02 19:00:00,75.4837,OK,synthetic
TR-01-01,2026-01-02 20:00:00,80.9197,OK,synthetic
TR-01-01,2026-01-02 21:00:00,81.8462,OK,synthetic
TR-01-01,2026-01-02 22:00:00,79.5743,OK,synthetic
TR-01-01,2026-01-02 23:00:00,41.2322,OK,synthetic
TR-01-01,2026-01-03 00:00:00,23.3898,OK,synthetic
TR-01-01,2026-01-03 01:00:00,22.811,OK,synthetic
TR-01-01,2026-01-03 02:00:00,25.0309,OK,synthetic
TR-01-01,2026-01-03 03:00:00,23.5274,OK,synthetic
TR-01-01,2026-01-03 04:00:00,25.9591,OK,synthetic
TR-01-01,2026-01-03 05:00:00,22.6621,OK,synthetic
TR-01-01,2026-01-03 06:00:00,44.699,OK,synthetic
TR-01-01,2026-01-03 07:00:00,43.1507,OK,synthetic
TR-01-01,2026-01-03 08:00:00,48.8212,OK,synthetic
TR-01-01,2026-01-03 09:00:00,50.2685,OK,synthetic
TR-01-01,2026-01-03 10:00:00,59.6766,OK,synthetic
TR-01-01,2026-01-03 11:00:00,56.938,OK,synthetic
TR-01-01,2026-01-03 12:00:00,54.1582,OK,synthetic
TR-01-01,2026-01-03 13:00:00,52.0538,OK,synthetic
TR-01-01,2026-01-03 14:00:00,49.547,OK,synthetic
TR-01-01,2026-01-03 15:00:00,57.3735,OK,synthetic
TR-01-01,2026-01-03 16:00:00,57.6283,OK,synthetic
TR-01-01,2026-01-03 17:00:00,52.7229,OK,synthetic
TR-01-01,2026-01-03 18:00:00,72.4523,OK,synthetic
TR-01-01,2026-01-03 19:00:00,73.7834,OK,synthetic
TR-01-01,2026-01-03 20:00:00,75.7851,OK,synthetic
TR-01-01,2026-01-03 21:00:00,76.9847,OK,synthetic
TR-01-01,2026-01-03 22:00:00,78.302,OK,synthetic
TR-01-01,2026-01-03 23:00:00,39.4588,OK,synthetic
TR-01-01,2026-01-04 00:00:00,23.2626,OK,synthetic
TR-01-01,2026-01-04 01:00:00,23.0858,OK,synthetic
TR-01-01,2026-01-04 02:00:00,24.8999,OK,synthetic
TR-01-01,2026-01-04 03:00:00,24.6199,OK,synthetic
TR-01-01,2026-01-04 04:00:00,23.5183,OK,synthetic
TR-01-01,2026-01-04 05:00:00,26.4185,OK,synthetic
TR-01-01,2026-01-04 06:00:00,43.641,OK,synthetic
TR-01-01,2026-01-04 07:00:00,49.1027,OK,synthetic
TR-01-01,2026-01-04 08:00:00,47.5008,OK,synthetic
TR-01-01,2026-01-04 09:00:00,49.8927,OK,synthetic
TR-01-01,2026-01-04 10:00:00,60.7814,OK,synthetic
TR-01-01,2026-01-04 11:00:00,58.2903,OK,synthetic
TR-01-01,2026-01-04 12:00:00,51.7335,OK,synthetic
TR-01-01,2026-01-04 13:00:00,51.6548,OK,synthetic
TR-01-01,2026-01-04 14:00:00,60.4522,OK,synthetic
TR-01-01,2026-01-04 15:00:00,55.2896,OK,synthetic
TR-01-01,2026-01-04 16:00:00,50.5375,OK,synthetic
TR-01-01,2026-01-04 17:00:00,60.6272,OK,synthetic
TR-01-01,2026-01-04 18:00:00,78.4774,OK,synthetic
TR-01-01,2026-01-04 19:00:00,72.3493,OK,synthetic
TR-01-01,2026-01-04 20:00:00,74.6156,OK,synthetic
TR-01-01,2026-01-04 21:00:00,78.0407,OK,synthetic
TR-01-01,2026-01-04 22:00:00,71.7736,OK,synthetic
TR-01-01,2026-01-04 23:00:00,36.5908,OK,synthetic
TR-01-01,2026-01-05 00:00:00,24.9911,OK,synthetic
TR-01-01,2026-01-05 01:00:00,29.2528,OK,synthetic
TR-01-01,2026-01-05 02:00:00,29.4943,OK,synthetic
TR-01-01,2026-01-05 03:00:00,28.422,OK,synthetic
TR-01-01,2026-01-05 04:00:00,27.7249,OK,synthetic
TR-01-01,2026-01-05 05:00:00,25.9997,OK,synthetic
TR-01-01,2026-01-05 06:00:00,48.0997,OK,synthetic
