meter_id,transformer_id,customer_type,is_macro,communication_type,installation_status,lat,lon
MM-01-01,TR-01-01,MACRO,True,MQTT,ACTIVE,2.435942046318607,-76.5898148794821
SM-01-01-001,TR-01-01,RESIDENTIAL,False,DLMS_SIM,ACTIVE,2.4385406296659986,-76.5898518943957
SM-01-01-002,TR-01-01,COMMERCIAL,False,DLMS_SIM,ACTIVE,2.43817553268851,-76.5885126842139
SM-01-01-003,TR-01-01,RESIDENTIAL,False,DLMS_SIM,ACTIVE,2.435794251479851,-76.59029506427953
SM-01-01-004,TR-01-01,COMMERCIAL,False,MQTT,ACTIVE,2.4342852567380917,-76.58844683810354
SM-01-01-005,TR-01-01,COMMERCIAL,False,MODBUS_TCP,ACTIVE,2.4327472726201598,-76.59052000989998
SM-01-01-006,TR-01-01,RESIDENTIAL,False,MODBUS_TCP,ACTIVE,2.4319138687181763,-76.59262867143497
SM-01-01-007,TR-01-01,SMALL_INDUSTRY,False,MQTT,ACTIVE,2.430990583511087,-76.58633731830618
SM-01-01-008,TR-01-01,RESIDENTIAL,False,MQTT,ACTIVE,2.440069191434583,-76.59082403443608
SM-01-01-009,TR-01-01,SMALL_INDUSTRY,False,MODBUS_TCP,ACTIVE,2.430355051599877,-76.59102663731173
SM-01-01-010,TR-01-01,COMMERCIAL,False,MODBUS_TCP,ACTIVE,2.4334978138256793,-76.58740430594808
SM-01-01-011,TR-01-01,RESIDENTIAL,False,DLMS_SIM,ACTIVE,2.428793548249023,-76.58689651611412
SM-01-01-012,TR-01-01,SMALL_INDUSTRY,False,MODBUS_TCP,ACTIVE,2.435435849441336,-76.59247525575896
MM-01-02,TR-01-02,MACRO,True,MQTT,ACTIVE,2.4263182801296805,-76.60084140292311
SM-01-02-001,TR-01-02,COMMERCIAL,False,MODBUS_TCP,ACTIVE,2.4220101352039927,-76.60448932479562
SM-01-02-002,TR-01-02,COMMERCIAL,False,DLMS_SIM,ACTIVE,2.4315969566483826,-76.59436814086284
SM-01-02-003,TR-01-02,SMALL_INDUSTRY,False,MODBUS_TCP,ACTIVE,2.4201957158602676,-76.59432119091797
SM-01-02-004,TR-01-02,SMALL_INDUSTRY,False,DLMS_SIM,ACTIVE,2.4242423586216026,-76.60370406917934
SM-01-02-005,TR-01-02,SMALL_INDUSTRY,False,MQTT,ACTIVE,2.424384354834653,-76.59529650636412
SM-01-02-006,TR-01-02,RESIDENTIAL,False,MODBUS_TCP,ACTIVE,2.428857876195963,-76.60133184514201
SM-01-02-007,TR-01-02,COMMERCIAL,False,DLMS_SIM,ACTIVE,2.4314613248678207,-76.6053166710513
SM-01-02-008,TR-01-02,COMMERCIAL,False,DLMS_SIM,ACTIVE,2.427881173786399,-76.59889296525802
SM-01-02-009,TR-01-02,SMALL_INDUSTRY,False,MODBUS_TCP,ACTIVE,2.4308118543750323,-76.60011401139951
SM-01-02-010,TR-01-02,COMMERCIAL,False,MQTT,ACTIVE,2.420251918440177,-76.60347634059282
SM-01-02-011,TR-01-02,SMALL_INDUSTRY,False,DLMS_SIM,ACTIVE,2.4316123543414063,-76.59571539825522
SM-01-02-012,TR-01-02,SMALL_INDUSTRY,False,MQTT,ACTIVE,2.4301945730348122,-76.5939568127926
MM-01-03,TR-01-03,MACRO,True,MQTT,ACTIVE,2.436300383151039,-76.609446874906
SM-01-03-001,TR-01-03,RESIDENTIAL,False,DLMS_SIM,ACTIVE,2.4392072395298117,-76.60574847271512
SM-01-03-002,TR-01-03,SMALL_INDUSTRY,False,DLMS_SIM,ACTIVE,2.435436914964818,-76.6133863844692
SM-01-03-003,TR-01-03,RESIDENTIAL,False,DLMS_SIM,ACTIVE,2.4299488075358675,-76.6134470294339
SM-01-03-004,TR-01-03,RESIDENTIAL,False,DLMS_SIM,ACTIVE,2.4377628379566016,-76.61355030136092
SM-01-03-005,TR-01-03,SMALL_INDUSTRY,False,DLMS_SIM,ACTIVE,2.437940296346701,-76.61252038522346
