meter_id,reading_timestamp,energy_kwh,voltage_v,current_a,power_factor,quality_flag,source
SM-01-01-001,2026-01-01 00:00:00,0.2931,117.83,13.42,0.911,OK,synthetic
SM-01-01-001,2026-01-01 01:00:00,0.2464,126.47,16.54,0.913,OK,synthetic
SM-01-01-001,2026-01-01 02:00:00,0.2647,121.64,10.55,0.909,OK,synthetic
SM-01-01-001,2026-01-01 03:00:00,0.277,119.57,9.43,0.917,OK,synthetic
SM-01-01-001,2026-01-01 04:00:00,0.2742,118.36,15.47,0.897,OK,synthetic
SM-01-01-001,2026-01-01 05:00:00,0.2653,115.02,15.32,0.905,OK,synthetic
SM-01-01-001,2026-01-01 06:00:00,0.5546,115.0,10.05,0.918,OK,synthetic
SM-01-01-001,2026-01-01 07:00:00,0.52,116.76,7.25,0.924,OK,synthetic
SM-01-01-001,2026-01-01 08:00:00,0.454,116.17,13.18,0.947,OK,synthetic
SM-01-01-001,2026-01-01 09:00:00,0.5632,120.01,15.06,0.907,OK,synthetic
SM-01-01-001,2026-01-01 10:00:00,0.5864,121.43,13.68,0.894,OK,synthetic
SM-01-01-001,2026-01-01 11:00:00,0.6232,123.8,12.83,0.951,OK,synthetic
SM-01-01-001,2026-01-01 12:00:00,0.5468,125.48,8.86,0.921,OK,synthetic
SM-01-01-001,2026-01-01 13:00:00,0.6017,121.63,14.23,0.908,OK,synthetic
SM-01-01-001,2026-01-01 14:00:00,0.6161,121.91,8.96,0.89,OK,synthetic
SM-01-01-001,2026-01-01 15:00:00,0.6411,120.59,17.0,0.959,OK,synthetic
SM-01-01-001,2026-01-01 16:00:00,0.5556,120.64,10.55,0.906,OK,synthetic
SM-01-01-001,2026-01-01 17:00:00,0.597,123.51,14.45,0.946,OK,synthetic
SM-01-01-001,2026-01-01 18:00:00,0.679,113.97,10.3,0.891,OK,synthetic
SM-01-01-001,2026-01-01 19:00:00,0.7685,123.01,8.8,0.962,OK,synthetic
SM-01-01-001,2026-01-01 20:00:00,0.8497,118.77,15.97,0.879,OK,synthetic
SM-01-01-001,2026-01-01 21:00:00,0.6926,115.62,16.52,0.908,OK,synthetic
SM-01-01-001,2026-01-01 22:00:00,0.7695,119.76,11.49,0.938,OK,synthetic
SM-01-01-001,2026-01-01 23:00:00,0.3849,116.51,12.94,0.96,OK,synthetic
SM-01-01-001,2026-01-02 00:00:00,0.276,115.83,11.79,0.909,OK,synthetic
SM-01-01-001,2026-01-02 01:00:00,0.2736,122.96,12.22,0.914,OK,synthetic
